sentID.BTEC	split	lang	sent
0	corpus-6-train	MSA	إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني .
2	corpus-6-train	MSA	هل تقومون بعمل تعديلات ؟
4	corpus-6-train	MSA	نريد مائدة بجانب النافذة .
5	corpus-6-test-corpus-26-train	MSA	هناك ، أمام بيانات السائح تماما .
9	corpus-6-test-corpus-26-train	MSA	لم اسمع بهذا العنوان من قبل بالقرب من هنا .
11	corpus-6-test-corpus-26-train	MSA	استمر في السير في هذا الطريق حتى تجد صيدلية .
12	corpus-6-train	MSA	ما هو أحدث لون هذا الموسم .
14	corpus-6-train	MSA	في حالتي ، غالباً ما يكون من أجل العمل ونادراً ما يكون للاستمتاع .
15	corpus-6-train	MSA	سأقيم لمدة يومين .
16	corpus-6-train	MSA	أريد تمويج متقارب بشعري
17	corpus-6-train	MSA	أريد حجز غرفتين مزدوجتين .
18	corpus-6-train	MSA	لا أريد إزالتها .
19	corpus-6-train	MSA	هل هذه الحافلة تتوقف في شارع أستونر ؟
24	corpus-6-train	MSA	من فضلك افتح فمك على مداه .
26	corpus-6-test-corpus-26-train	MSA	كم تكلفة الإفطار ؟
27	corpus-6-test-corpus-26-train	MSA	كيف أستطيع مساعدتك ؟
29	corpus-6-train	MSA	دعنا نأخذ قطعة لنأكلها .
30	corpus-6-test-corpus-26-train	MSA	اتجه يسارا عند الناصية الثالثة .
31	corpus-6-train	MSA	هل لك أن تقوم بتنظيف هذه الملابس ؟
37	corpus-6-dev	MSA	أعطيك رقم تليفونه وعنوانه .
38	corpus-6-train	MSA	لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .
40	corpus-6-train	MSA	أبحث عن مطعم جيد ، للمشويات . هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ؟
42	corpus-6-train	MSA	أنت تقوم بكسرها ، فأنت الذي اشتريتها .
46	corpus-6-train	MSA	سوف أخبرها بأن تتصل بك بمجرد أن تصل .
50	corpus-6-test-corpus-26-train	MSA	هل تحب أن تضع قشدة وسكر في قهوتك ؟
51	corpus-6-train	MSA	لقد أصيبت إصابة بالغة .
